0	0.0	Baseline	311
0	0.0	ZGreedy	312
0	0.0	Heuristic	313
1	7.55326042175293	Baseline	311
1	4.16608250935872	ZGreedy	312
1	4.21402575174967	Heuristic	313
2	7.55350596110026	Baseline	311
2	4.25753008524577	ZGreedy	312
2	4.2210454305013	Heuristic	313
3	7.55351867675781	Baseline	311
3	4.70306364695231	ZGreedy	312
3	5.39999230702718	Heuristic	313
4	7.55572605133057	Baseline	311
4	4.70308691660563	ZGreedy	312
4	6.80027949015299	Heuristic	313
5	7.56373208363851	Baseline	311
5	4.70309499104818	ZGreedy	312
5	8.9781956354777	Heuristic	313
6	7.56388645172119	Baseline	311
6	4.70309759775798	ZGreedy	312
6	8.97820479075114	Heuristic	313
7	7.56389560699463	Baseline	311
7	4.70310586293538	ZGreedy	312
7	8.97821509043376	Heuristic	313
8	7.5639030456543	Baseline	311
8	4.70311393737793	ZGreedy	312
8	8.97901643117269	Heuristic	313
9	7.56390310923258	Baseline	311
9	4.70311800638835	ZGreedy	312
9	8.98305587768555	Heuristic	313
10	7.56390902201335	Baseline	311
10	4.70312054951986	ZGreedy	312
10	8.98386720021566	Heuristic	313
11	7.56392351786296	Baseline	311
11	4.7031223932902	ZGreedy	312
11	8.98404000600179	Heuristic	313
12	7.56392841339111	Baseline	311
12	4.70313218434652	ZGreedy	312
12	8.98405195871989	Heuristic	313
13	7.56393413543701	Baseline	311
13	4.70313758850098	ZGreedy	312
13	8.98405526479085	Heuristic	313
14	7.56393725077311	Baseline	311
14	4.70314191182454	ZGreedy	312
14	9.00308659871419	Heuristic	313
15	7.56394068400065	Baseline	311
15	4.7031452814738	ZGreedy	312
15	9.1260061899821	Heuristic	313
16	7.56394856770833	Baseline	311
16	4.7029899597168	ZGreedy	312
16	9.19595050811768	Heuristic	313
17	7.56395683288574	Baseline	311
17	4.70289204915365	ZGreedy	312
17	9.19668261210124	Heuristic	313
18	7.56396179199219	Baseline	311
18	4.70289815266927	ZGreedy	312
18	9.19647000630697	Heuristic	313
19	7.56396643320719	Baseline	311
19	4.70290387471517	ZGreedy	312
19	9.19645805358887	Heuristic	313
20	7.56397291819255	Baseline	311
20	4.70290756225586	ZGreedy	312
20	9.19669621785482	Heuristic	313
21	7.56397908528646	Baseline	311
21	4.70290985107422	ZGreedy	312
21	9.19670028686523	Heuristic	313
22	7.56398156483968	Baseline	311
22	4.70291531880697	ZGreedy	312
22	9.20454654693603	Heuristic	313
23	7.56398785909017	Baseline	311
23	4.70291976928711	ZGreedy	312
23	9.33624318440755	Heuristic	313
24	7.5639928817749	Baseline	311
24	4.70303548177083	ZGreedy	312
24	9.42183685302734	Heuristic	313
25	7.56399987538656	Baseline	311
25	4.70310707092285	ZGreedy	312
25	9.41847972869873	Heuristic	313
26	7.56400254567464	Baseline	311
26	4.7031130472819	ZGreedy	312
26	9.41848608652751	Heuristic	313
27	7.56400922139486	Baseline	311
27	4.7031197865804	ZGreedy	312
27	9.41848843892415	Heuristic	313
28	7.56401697794596	Baseline	311
28	4.70312347412109	ZGreedy	312
28	9.41849397023519	Heuristic	313
29	7.56401755015055	Baseline	311
29	4.70312868754069	ZGreedy	312
29	9.41849848429362	Heuristic	313
30	7.56402295430501	Baseline	311
30	4.70313313802083	ZGreedy	312
30	9.41850490570068	Heuristic	313
31	7.56402600606283	Baseline	311
31	4.70313784281413	ZGreedy	312
31	9.4185089747111	Heuristic	313
32	7.56403350830078	Baseline	311
32	4.70314242045085	ZGreedy	312
32	9.41851603190104	Heuristic	313
33	7.56404234568278	Baseline	311
33	4.70314801534017	ZGreedy	312
33	9.41851965586344	Heuristic	313
34	7.56404603322347	Baseline	311
34	5.21332588195801	ZGreedy	312
34	9.41852486928304	Heuristic	313
35	7.56405499776204	Baseline	311
35	7.65602378845215	ZGreedy	312
35	9.41853052775065	Heuristic	313
36	7.56405906677246	Baseline	311
36	7.65602671305339	ZGreedy	312
36	9.41853644053141	Heuristic	313
37	7.56406294504801	Baseline	311
37	7.65603052775065	ZGreedy	312
37	9.41853949228923	Heuristic	313
38	7.56407006581624	Baseline	311
38	7.65603955586751	ZGreedy	312
38	9.41854769388835	Heuristic	313
39	7.56407343546549	Baseline	311
39	7.65604133605957	ZGreedy	312
39	9.41855513254801	Heuristic	313
40	7.5640817006429	Baseline	311
40	7.65604654947917	ZGreedy	312
40	9.41856015523275	Heuristic	313
41	7.56408933003743	Baseline	311
41	7.65605456034342	ZGreedy	312
41	9.41856587727865	Heuristic	313
42	7.5640926361084	Baseline	311
42	7.65605894724528	ZGreedy	312
42	9.41857013702393	Heuristic	313
43	7.5640941619873	Baseline	311
43	7.65606530507406	ZGreedy	312
43	9.41857554117839	Heuristic	313
44	7.56410293579102	Baseline	311
44	7.65607147216797	ZGreedy	312
44	9.41857738494873	Heuristic	313
45	7.56410916646322	Baseline	311
45	7.65607515970866	ZGreedy	312
45	9.41858266194661	Heuristic	313
46	7.56411603291829	Baseline	311
46	7.65607948303223	ZGreedy	312
46	9.41858660380046	Heuristic	313
47	7.56411774953206	Baseline	311
47	7.65608139038086	ZGreedy	312
47	9.41859175364177	Heuristic	313
48	7.56412506103516	Baseline	311
48	7.65608800252279	ZGreedy	312
48	9.41859709421794	Heuristic	313
49	7.56412932078044	Baseline	311
49	7.65609124501546	ZGreedy	312
49	9.41860567728678	Heuristic	313
50	7.56413510640462	Baseline	311
50	7.65609505971273	ZGreedy	312
50	9.41860917409261	Heuristic	313
51	7.5641414642334	Baseline	311
51	7.65610644022624	ZGreedy	312
51	9.41861298878988	Heuristic	313
